,Adgrl1
1535,4.0
1536,0.0
1537,1.0
1538,1.0
1539,5.0
1540,5.0
1541,0.0
1542,1.0
1543,4.0
1544,12.0
1545,10.0
1546,2.0
1547,4.0
1548,7.0
1549,5.0
1550,6.0
1551,1.0
1552,11.0
1553,1.0
1554,4.0
1555,2.0
1556,5.0
1557,2.0
1558,0.0
1559,4.0
1560,8.0
1561,6.0
1562,4.0
1563,3.0
1564,6.0
1565,16.0
1566,15.0
1567,6.0
1568,3.0
1569,1.0
1570,8.0
1571,1.0
1572,3.0
1573,6.0
1574,6.0
1575,4.0
1576,12.0
1577,10.0
1578,5.0
1579,0.0
1580,4.0
1581,0.0
1582,2.0
1583,6.0
1584,16.0
1585,2.0
1586,0.0
1587,1.0
1588,5.0
1589,1.0
1590,5.0
1591,0.0
1592,3.0
1593,6.0
1594,8.0
1595,13.0
1596,3.0
1597,4.0
1598,8.0
1599,8.0
1600,17.0
1601,4.0
1602,7.0
1603,5.0
1604,2.0
1605,0.0
1606,5.0
1607,4.0
1608,11.0
1609,4.0
1610,12.0
1611,0.0
1612,5.0
1613,0.0
1614,1.0
1615,8.0
1616,0.0
1617,1.0
1618,12.0
1619,0.0
1620,0.0
1621,0.0
1622,9.0
1623,0.0
1624,3.0
1625,2.0
1626,1.0
1627,2.0
1628,1.0
1629,0.0
1630,7.0
1631,1.0
1632,10.0
1633,0.0
1634,7.0
1635,3.0
1636,1.0
1637,5.0
1638,7.0
1639,15.0
1640,4.0
1641,13.0
1642,4.0
1643,9.0
1644,5.0
1645,3.0
1646,0.0
1647,4.0
1648,0.0
1649,2.0
1650,13.0
1651,6.0
1652,18.0
1653,6.0
1654,11.0
1655,1.0
1656,0.0
1657,4.0
1658,8.0
1659,8.0
1660,4.0
1661,4.0
1662,9.0
1663,2.0
1664,8.0
1665,3.0
1666,6.0
1667,1.0
1668,1.0
1669,7.0
1670,21.0
1671,7.0
1672,0.0
1673,6.0
1674,0.0
1675,0.0
1676,5.0
1677,4.0
1678,0.0
1679,6.0
1680,15.0
1681,6.0
1682,1.0
1683,0.0
1684,1.0
1685,5.0
1686,2.0
1687,10.0
1688,2.0
1689,15.0
1690,7.0
1691,0.0
1692,0.0
1693,2.0
1694,3.0
1695,4.0
1696,12.0
1697,8.0
1698,7.0
1699,5.0
1700,1.0
1701,1.0
1702,7.0
1703,5.0
1704,4.0
1705,0.0
1706,2.0
1707,7.0
1708,7.0
1709,0.0
1710,7.0
1711,5.0
1712,0.0
1713,4.0
1714,1.0
1715,5.0
1716,11.0
1717,0.0
1718,2.0
1719,2.0
1720,2.0
1721,3.0
1722,8.0
1723,1.0
1724,6.0
1725,6.0
1726,8.0
1727,8.0
1728,9.0
1729,3.0
1730,8.0
1731,0.0
1732,6.0
1733,2.0
1734,14.0
1735,1.0
1736,8.0
1737,4.0
1738,3.0
1739,6.0
1740,0.0
1741,1.0
1742,0.0
1743,6.0
1744,12.0
1745,12.0
1746,3.0
1747,0.0
1748,0.0
1749,14.0
1750,3.0
1751,0.0
1752,11.0
1753,10.0
1754,7.0
1755,4.0
1756,0.0
1757,2.0
1758,6.0
1759,1.0
1760,0.0
1761,1.0
1762,3.0
1763,8.0
1764,1.0
1765,7.0
1766,4.0
1767,2.0
1768,6.0
1769,2.0
1770,2.0
1771,0.0
1772,8.0
1773,0.0
1774,5.0
1775,8.0
1776,2.0
1777,2.0
1778,5.0
1779,8.0
1780,0.0
1781,7.0
1782,1.0
1783,7.0
1784,8.0
1785,10.0
1786,10.0
1787,11.0
1788,0.0
1789,5.0
1790,15.0
1791,5.0
1792,6.0
1793,5.0
1794,8.0
1795,1.0
1796,5.0
1797,0.0
1798,1.0
1799,6.0
1800,9.0
1801,7.0
1802,1.0
1803,10.0
1804,2.0
1805,9.0
1806,8.0
1807,11.0
1808,6.0
1809,2.0
1810,0.0
1811,1.0
1812,1.0
1813,1.0
1814,8.0
1815,3.0
1816,2.0
1817,5.0
1818,7.0
1819,3.0
1820,5.0
1821,0.0
1822,13.0
1823,3.0
1824,6.0
1825,11.0
1826,6.0
1827,3.0
1828,6.0
1829,7.0
1830,3.0
1831,4.0
1832,2.0
1833,10.0
1834,1.0
1835,14.0
1836,1.0
1837,3.0
1838,0.0
1839,6.0
1840,2.0
1841,5.0
1842,3.0
1843,2.0
1844,10.0
1845,0.0
1846,5.0
1847,1.0
1848,1.0
1849,1.0
1850,8.0
1851,5.0
1852,14.0
1853,3.0
1854,0.0
1855,6.0
1856,1.0
1857,0.0
1858,1.0
1859,1.0
1860,4.0
1861,3.0
1862,5.0
1863,3.0
1864,2.0
1865,9.0
1866,19.0
1867,12.0
1868,7.0
1869,5.0
1870,5.0
1871,7.0
1872,1.0
1873,10.0
1874,1.0
1875,11.0
1876,10.0
1877,3.0
1878,2.0
1879,11.0
1880,7.0
1881,6.0
1882,3.0
1883,13.0
1884,5.0
1885,6.0
1886,12.0
1887,8.0
1888,9.0
1889,1.0
1890,0.0
1891,12.0
1892,14.0
1893,9.0
1894,5.0
1895,10.0
1896,5.0
1897,3.0
1898,0.0
1899,1.0
1900,2.0
1901,4.0
1902,11.0
1903,1.0
1904,12.0
1905,3.0
1906,8.0
1907,13.0
1908,0.0
1909,8.0
1910,9.0
1911,6.0
1912,0.0
1913,6.0
1914,7.0
1915,9.0
1916,12.0
1917,3.0
1918,0.0
1919,0.0
1920,2.0
1921,7.0
1922,7.0
1923,12.0
1924,1.0
1925,6.0
1926,3.0
1927,7.0
1928,2.0
1929,1.0
1930,1.0
1931,3.0
1932,1.0
1933,1.0
1934,1.0
1935,1.0
1936,6.0
1937,12.0
1938,6.0
1939,4.0
1940,4.0
1941,6.0
1942,13.0
1943,0.0
1944,2.0
1945,1.0
1946,1.0
1947,4.0
1948,8.0
1949,0.0
1950,3.0
1951,4.0
1952,2.0
1953,8.0
1954,2.0
1955,1.0
1956,5.0
1957,9.0
1958,11.0
1959,0.0
1960,0.0
1961,3.0
1962,1.0
1963,9.0
1964,8.0
1965,9.0
1966,6.0
1967,3.0
1968,1.0
1969,0.0
1970,2.0
1971,0.0
1972,0.0
1973,4.0
1974,6.0
1975,5.0
1976,11.0
1977,2.0
1978,14.0
1979,7.0
1980,1.0
1981,0.0
1982,2.0
1983,0.0
1984,2.0
1985,5.0
1986,0.0
1987,0.0
1988,1.0
1989,16.0
1990,3.0
1991,2.0
1992,1.0
1993,1.0
1994,4.0
1995,5.0
1996,3.0
1997,1.0
1998,0.0
1999,2.0
2000,12.0
2001,12.0
2002,7.0
2003,4.0
2004,10.0
2005,4.0
2006,10.0
2007,9.0
2008,1.0
2009,0.0
2010,7.0
2011,6.0
2012,3.0
2013,2.0
2014,1.0
2015,0.0
2016,7.0
