,Epha4
2056,27.0
2057,0.0
2058,8.0
2059,17.0
2060,10.0
2061,14.0
2062,15.0
2063,25.0
2064,2.0
2065,17.0
2066,26.0
2067,21.0
2068,28.0
2069,6.0
2070,8.0
2071,27.0
2072,7.0
2073,20.0
2074,13.0
2075,22.0
2076,3.0
2077,22.0
2078,0.0
2079,2.0
2080,18.0
2081,33.0
2082,6.0
2083,19.0
2084,14.0
2085,34.0
2086,23.0
2087,26.0
2088,33.0
2089,1.0
2090,3.0
2091,3.0
2092,19.0
2093,7.0
2094,28.0
2095,18.0
2096,1.0
2097,25.0
2098,2.0
2099,24.0
2100,14.0
2101,12.0
2102,3.0
2103,1.0
2104,3.0
2105,44.0
2106,21.0
2107,5.0
2108,2.0
2109,3.0
2110,1.0
2111,16.0
2112,7.0
2113,3.0
2114,0.0
2115,5.0
2116,7.0
2117,29.0
2118,31.0
2119,17.0
2120,40.0
2121,21.0
2122,11.0
2123,2.0
2124,47.0
2125,26.0
2126,3.0
2127,0.0
2128,9.0
2129,6.0
2130,0.0
2131,53.0
2132,31.0
2133,4.0
2134,1.0
2135,15.0
2136,4.0
