,Gprc5b
1800,1.0
1801,0.0
1802,1.0
1803,0.0
1804,11.0
1805,0.0
1806,1.0
1807,1.0
1808,1.0
1809,1.0
1810,0.0
1811,1.0
1812,1.0
1813,2.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,1.0
1825,0.0
1826,0.0
1827,2.0
1828,0.0
1829,0.0
1830,1.0
1831,0.0
1832,2.0
1833,1.0
1834,0.0
1835,0.0
1836,1.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,3.0
1842,2.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,2.0
1849,1.0
1850,1.0
1851,0.0
1852,0.0
1853,1.0
1854,0.0
1855,0.0
1856,0.0
1857,1.0
1858,0.0
1859,0.0
1860,5.0
1861,1.0
1862,0.0
1863,0.0
1864,2.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,2.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,1.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,1.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,1.0
1892,0.0
1893,2.0
1894,3.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,3.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,11.0
1909,1.0
1910,0.0
1911,4.0
1912,1.0
1913,0.0
1914,0.0
1915,1.0
1916,4.0
1917,1.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,2.0
1927,0.0
1928,0.0
1929,0.0
1930,1.0
1931,0.0
1932,2.0
1933,0.0
1934,2.0
1935,1.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,1.0
1944,4.0
1945,0.0
1946,1.0
1947,0.0
1948,0.0
1949,1.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,1.0
1959,0.0
1960,7.0
1961,1.0
1962,0.0
1963,0.0
1964,5.0
1965,1.0
1966,0.0
1967,1.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,4.0
1981,4.0
1982,0.0
1983,0.0
1984,1.0
1985,0.0
1986,4.0
1987,1.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,1.0
1994,0.0
1995,1.0
1996,0.0
1997,0.0
1998,1.0
1999,0.0
2000,0.0
2001,1.0
2002,0.0
2003,1.0
2004,0.0
2005,1.0
2006,0.0
2007,0.0
2008,0.0
2009,1.0
2010,1.0
2011,2.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,1.0
2023,0.0
2024,1.0
2025,1.0
2026,1.0
2027,0.0
2028,2.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,6.0
2035,0.0
2036,0.0
2037,0.0
2038,1.0
2039,0.0
2040,0.0
2041,1.0
2042,0.0
2043,9.0
2044,0.0
2045,1.0
2046,1.0
2047,1.0
2048,0.0
2049,0.0
2050,1.0
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,1.0
2060,0.0
2061,1.0
2062,0.0
2063,0.0
2064,2.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,1.0
2079,6.0
2080,1.0
2081,2.0
2082,0.0
2083,0.0
2084,2.0
2085,0.0
2086,0.0
2087,1.0
2088,0.0
2089,0.0
2090,4.0
2091,0.0
2092,1.0
2093,0.0
2094,0.0
2095,0.0
2096,4.0
2097,1.0
2098,0.0
2099,0.0
2100,0.0
2101,0.0
2102,0.0
2103,3.0
2104,0.0
2105,0.0
2106,1.0
2107,1.0
2108,4.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,1.0
2114,1.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,1.0
2123,3.0
2124,0.0
2125,1.0
2126,0.0
2127,0.0
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,7.0
