,Slc17a7
1850,50.0
1851,78.0
1852,84.0
1853,0.0
1854,1.0
1855,37.0
1856,1.0
1857,1.0
1858,7.0
1859,58.0
1860,2.0
1861,4.0
1862,28.0
1863,36.0
1864,0.0
1865,104.0
1866,143.0
1867,74.0
1868,58.0
1869,38.0
1870,23.0
1871,66.0
1872,8.0
1873,67.0
1874,15.0
1875,54.0
1876,57.0
1877,36.0
1878,8.0
1879,115.0
1880,87.0
1881,25.0
1882,36.0
1883,76.0
1884,48.0
1885,22.0
1886,50.0
1887,51.0
1888,89.0
1889,10.0
1890,0.0
1891,73.0
1892,115.0
1893,69.0
1894,5.0
1895,69.0
1896,41.0
1897,4.0
1898,24.0
1899,20.0
1900,35.0
1901,22.0
1902,81.0
1903,1.0
1904,47.0
1905,39.0
1906,51.0
1907,81.0
1908,0.0
1909,26.0
1910,31.0
1911,55.0
1912,1.0
1913,68.0
1914,48.0
1915,63.0
1916,2.0
1917,36.0
1918,0.0
1919,32.0
1920,15.0
1921,34.0
1922,50.0
1923,38.0
1924,4.0
1925,62.0
1926,64.0
1927,1.0
1928,15.0
1929,8.0
1930,5.0
1931,9.0
1932,2.0
1933,15.0
1934,0.0
1935,1.0
1936,53.0
1937,81.0
1938,28.0
1939,15.0
1940,29.0
1941,67.0
1942,103.0
1943,1.0
1944,3.0
1945,27.0
1946,4.0
1947,42.0
1948,37.0
1949,0.0
1950,12.0
1951,48.0
1952,7.0
1953,73.0
1954,15.0
1955,9.0
1956,44.0
1957,45.0
1958,78.0
1959,17.0
1960,3.0
1961,28.0
1962,3.0
1963,52.0
1964,34.0
1965,38.0
1966,54.0
1967,3.0
1968,5.0
1969,11.0
1970,8.0
1971,0.0
1972,0.0
1973,14.0
1974,55.0
1975,27.0
1976,43.0
1977,17.0
1978,57.0
1979,59.0
1980,0.0
1981,3.0
1982,8.0
1983,2.0
1984,26.0
1985,28.0
1986,2.0
1987,1.0
1988,34.0
1989,80.0
1990,11.0
1991,23.0
1992,1.0
1993,0.0
1994,21.0
1995,79.0
1996,19.0
1997,8.0
1998,1.0
1999,0.0
2000,109.0
2001,94.0
2002,34.0
2003,78.0
2004,52.0
2005,47.0
2006,53.0
2007,72.0
2008,1.0
2009,3.0
2010,11.0
2011,63.0
2012,12.0
2013,25.0
2014,39.0
2015,8.0
2016,56.0
2017,40.0
2018,132.0
2019,1.0
2020,3.0
2021,68.0
2022,94.0
2023,47.0
2024,8.0
2025,1.0
2026,60.0
2027,21.0
2028,24.0
2029,68.0
2030,38.0
2031,81.0
2032,3.0
2033,7.0
2034,0.0
2035,86.0
2036,63.0
2037,23.0
2038,6.0
2039,0.0
2040,18.0
2041,126.0
2042,61.0
2043,1.0
2044,44.0
2045,60.0
2046,6.0
2047,59.0
2048,9.0
2049,17.0
2050,74.0
2051,5.0
2052,9.0
2053,93.0
2054,32.0
2055,18.0
2056,101.0
2057,0.0
2058,36.0
2059,30.0
2060,56.0
2061,22.0
2062,60.0
2063,55.0
2064,1.0
2065,70.0
2066,83.0
2067,33.0
2068,58.0
2069,30.0
2070,14.0
2071,80.0
2072,17.0
2073,58.0
2074,38.0
2075,37.0
2076,1.0
2077,33.0
2078,3.0
2079,0.0
2080,44.0
2081,97.0
2082,4.0
2083,77.0
2084,47.0
2085,91.0
2086,67.0
2087,56.0
2088,75.0
2089,5.0
2090,2.0
2091,0.0
2092,70.0
2093,34.0
2094,80.0
2095,54.0
2096,0.0
2097,67.0
2098,13.0
2099,86.0
2100,32.0
2101,31.0
2102,17.0
2103,0.0
2104,26.0
2105,120.0
2106,59.0
2107,0.0
2108,11.0
2109,19.0
2110,6.0
2111,39.0
2112,8.0
2113,3.0
2114,1.0
2115,12.0
2116,29.0
2117,74.0
2118,109.0
2119,41.0
2120,121.0
2121,93.0
2122,27.0
2123,2.0
2124,129.0
2125,51.0
2126,9.0
2127,0.0
2128,24.0
2129,18.0
2130,0.0
2131,117.0
2132,73.0
2133,16.0
2134,1.0
