,Grm5
1711,0.0
1712,7.0
1713,4.0
1714,0.0
1715,3.0
1716,11.0
1717,4.0
1718,2.0
1719,6.0
1720,8.0
1721,5.0
1722,10.0
1723,1.0
1724,9.0
1725,8.0
1726,7.0
1727,22.0
1728,11.0
1729,8.0
1730,16.0
1731,1.0
1732,12.0
1733,4.0
1734,12.0
1735,0.0
1736,17.0
1737,9.0
1738,8.0
1739,6.0
1740,0.0
1741,2.0
1742,6.0
1743,13.0
1744,16.0
1745,8.0
1746,3.0
1747,0.0
1748,0.0
1749,13.0
1750,7.0
1751,0.0
1752,7.0
1753,15.0
1754,24.0
1755,7.0
1756,1.0
1757,2.0
1758,6.0
1759,3.0
1760,1.0
1761,4.0
1762,13.0
1763,7.0
1764,0.0
1765,8.0
1766,7.0
1767,0.0
1768,5.0
1769,8.0
1770,2.0
1771,5.0
1772,14.0
1773,1.0
1774,2.0
1775,16.0
1776,13.0
1777,6.0
1778,10.0
1779,5.0
1780,0.0
1781,14.0
1782,1.0
1783,5.0
1784,6.0
1785,7.0
1786,13.0
1787,13.0
1788,1.0
1789,10.0
1790,12.0
1791,1.0
1792,7.0
1793,8.0
1794,3.0
1795,0.0
1796,3.0
1797,0.0
1798,2.0
1799,7.0
1800,11.0
1801,9.0
1802,0.0
1803,4.0
1804,2.0
1805,13.0
1806,11.0
1807,11.0
1808,20.0
1809,0.0
1810,1.0
1811,4.0
1812,0.0
1813,1.0
1814,11.0
1815,4.0
1816,2.0
1817,1.0
1818,10.0
1819,1.0
1820,13.0
1821,0.0
1822,12.0
1823,1.0
1824,10.0
1825,16.0
1826,13.0
1827,1.0
1828,27.0
1829,11.0
1830,8.0
1831,3.0
1832,0.0
1833,9.0
1834,2.0
1835,9.0
1836,1.0
1837,3.0
1838,0.0
1839,10.0
1840,3.0
1841,13.0
1842,0.0
1843,0.0
1844,15.0
1845,0.0
1846,3.0
1847,2.0
1848,0.0
1849,6.0
1850,11.0
1851,23.0
1852,18.0
1853,8.0
1854,0.0
1855,10.0
1856,6.0
1857,0.0
1858,2.0
1859,10.0
1860,5.0
1861,1.0
1862,7.0
1863,4.0
1864,11.0
1865,13.0
1866,12.0
1867,10.0
1868,11.0
1869,2.0
1870,6.0
1871,11.0
1872,1.0
1873,17.0
1874,2.0
1875,12.0
1876,12.0
1877,9.0
1878,1.0
1879,18.0
1880,15.0
1881,7.0
1882,10.0
1883,11.0
1884,15.0
1885,6.0
1886,8.0
1887,11.0
1888,15.0
1889,1.0
1890,0.0
1891,19.0
1892,18.0
1893,10.0
1894,13.0
1895,17.0
1896,7.0
1897,4.0
1898,2.0
1899,5.0
1900,5.0
1901,9.0
1902,6.0
1903,0.0
1904,4.0
1905,9.0
1906,13.0
1907,15.0
1908,1.0
1909,3.0
1910,5.0
1911,14.0
1912,0.0
1913,11.0
1914,10.0
1915,20.0
1916,32.0
1917,10.0
1918,0.0
1919,5.0
1920,0.0
1921,10.0
1922,7.0
1923,10.0
1924,4.0
1925,10.0
1926,10.0
1927,15.0
1928,4.0
1929,0.0
1930,3.0
1931,1.0
1932,0.0
1933,1.0
1934,1.0
1935,0.0
1936,5.0
1937,12.0
1938,7.0
1939,1.0
1940,8.0
1941,8.0
1942,9.0
1943,0.0
1944,0.0
1945,7.0
1946,3.0
1947,11.0
1948,9.0
1949,1.0
1950,2.0
1951,8.0
1952,0.0
1953,10.0
1954,2.0
1955,2.0
1956,9.0
1957,11.0
1958,12.0
1959,1.0
1960,0.0
1961,5.0
1962,2.0
1963,10.0
1964,4.0
1965,3.0
1966,10.0
1967,2.0
1968,2.0
1969,1.0
1970,1.0
1971,0.0
1972,0.0
1973,1.0
1974,9.0
1975,5.0
1976,8.0
1977,3.0
1978,9.0
1979,13.0
1980,3.0
1981,0.0
1982,2.0
1983,0.0
1984,8.0
1985,4.0
1986,1.0
1987,0.0
1988,6.0
1989,12.0
1990,0.0
1991,4.0
1992,0.0
1993,0.0
1994,6.0
1995,6.0
1996,0.0
1997,3.0
1998,1.0
1999,0.0
2000,14.0
2001,20.0
2002,10.0
2003,19.0
2004,11.0
2005,5.0
2006,8.0
2007,9.0
2008,2.0
2009,1.0
2010,3.0
2011,8.0
2012,4.0
2013,6.0
2014,9.0
2015,2.0
2016,11.0
2017,13.0
2018,18.0
2019,1.0
2020,9.0
2021,21.0
2022,17.0
2023,9.0
2024,0.0
2025,5.0
2026,13.0
2027,4.0
2028,3.0
2029,11.0
2030,6.0
2031,13.0
2032,0.0
2033,1.0
2034,23.0
2035,9.0
2036,17.0
2037,4.0
2038,1.0
2039,1.0
2040,5.0
2041,19.0
2042,11.0
2043,32.0
2044,12.0
2045,9.0
2046,0.0
2047,8.0
2048,2.0
2049,2.0
2050,12.0
2051,0.0
2052,4.0
2053,14.0
2054,4.0
2055,3.0
2056,20.0
2057,0.0
2058,4.0
2059,3.0
2060,10.0
2061,6.0
2062,15.0
2063,16.0
2064,16.0
2065,9.0
2066,13.0
2067,4.0
2068,6.0
2069,7.0
2070,1.0
2071,29.0
2072,5.0
2073,9.0
2074,8.0
2075,7.0
2076,0.0
2077,5.0
2078,0.0
2079,7.0
2080,9.0
2081,18.0
2082,1.0
2083,11.0
2084,12.0
2085,20.0
2086,20.0
2087,16.0
2088,18.0
2089,2.0
2090,8.0
2091,0.0
2092,10.0
2093,4.0
2094,7.0
2095,13.0
2096,6.0
2097,9.0
2098,1.0
2099,14.0
2100,10.0
2101,9.0
2102,3.0
2103,2.0
2104,5.0
2105,14.0
2106,8.0
2107,0.0
2108,1.0
2109,5.0
2110,2.0
2111,12.0
2112,7.0
2113,0.0
2114,0.0
2115,2.0
2116,1.0
2117,22.0
2118,13.0
2119,15.0
2120,21.0
2121,12.0
2122,8.0
2123,2.0
2124,28.0
2125,17.0
2126,0.0
2127,0.0
2128,6.0
2129,3.0
2130,3.0
2131,37.0
2132,24.0
2133,3.0
2134,30.0
2135,7.0
2136,20.0
