,Celsr2
1853,2.0
1854,0.0
1855,6.0
1856,2.0
1857,0.0
1858,1.0
1859,8.0
1860,8.0
1861,0.0
1862,5.0
1863,5.0
1864,6.0
1865,14.0
1866,22.0
1867,7.0
1868,4.0
1869,3.0
1870,4.0
1871,11.0
1872,2.0
1873,5.0
1874,0.0
1875,5.0
1876,8.0
1877,6.0
1878,1.0
1879,20.0
1880,8.0
1881,0.0
1882,7.0
1883,15.0
1884,8.0
1885,12.0
1886,5.0
1887,7.0
1888,10.0
1889,3.0
1890,1.0
1891,7.0
1892,8.0
1893,8.0
1894,8.0
1895,12.0
1896,8.0
1897,1.0
1898,5.0
1899,1.0
1900,8.0
1901,0.0
1902,6.0
1903,0.0
1904,5.0
1905,4.0
1906,7.0
1907,8.0
1908,0.0
1909,1.0
1910,6.0
1911,7.0
1912,0.0
1913,10.0
1914,8.0
1915,11.0
1916,11.0
1917,6.0
1918,0.0
1919,7.0
1920,1.0
1921,6.0
1922,4.0
1923,8.0
1924,1.0
1925,6.0
1926,13.0
1927,9.0
1928,0.0
1929,1.0
1930,0.0
1931,0.0
1932,0.0
1933,6.0
1934,0.0
1935,1.0
1936,3.0
1937,13.0
1938,4.0
1939,1.0
1940,3.0
1941,7.0
1942,4.0
1943,0.0
1944,0.0
1945,5.0
1946,6.0
1947,8.0
1948,7.0
1949,0.0
1950,1.0
1951,9.0
1952,2.0
1953,10.0
1954,2.0
1955,3.0
1956,6.0
1957,11.0
1958,14.0
1959,1.0
1960,1.0
1961,7.0
1962,0.0
1963,13.0
1964,9.0
1965,8.0
1966,11.0
1967,0.0
1968,0.0
1969,0.0
1970,1.0
1971,0.0
1972,0.0
1973,7.0
1974,12.0
1975,13.0
1976,5.0
1977,3.0
1978,5.0
1979,6.0
1980,1.0
1981,1.0
1982,1.0
1983,1.0
1984,4.0
1985,3.0
1986,0.0
1987,1.0
1988,5.0
1989,17.0
1990,4.0
1991,2.0
1992,0.0
1993,0.0
1994,3.0
1995,15.0
1996,6.0
1997,0.0
1998,0.0
1999,1.0
2000,16.0
2001,9.0
2002,12.0
2003,11.0
2004,6.0
2005,6.0
2006,10.0
2007,13.0
2008,0.0
2009,0.0
2010,12.0
2011,9.0
2012,5.0
2013,3.0
2014,4.0
2015,0.0
2016,13.0
2017,6.0
2018,13.0
2019,0.0
2020,4.0
2021,10.0
2022,11.0
2023,13.0
2024,2.0
2025,7.0
2026,12.0
2027,3.0
2028,2.0
2029,5.0
2030,8.0
2031,15.0
2032,1.0
2033,0.0
2034,9.0
2035,14.0
2036,9.0
2037,4.0
2038,0.0
2039,0.0
2040,6.0
2041,23.0
2042,8.0
2043,14.0
2044,6.0
2045,6.0
2046,1.0
2047,8.0
2048,1.0
2049,6.0
2050,15.0
2051,2.0
2052,1.0
2053,18.0
2054,2.0
2055,2.0
2056,10.0
2057,0.0
2058,10.0
2059,7.0
2060,5.0
2061,1.0
2062,10.0
2063,8.0
2064,6.0
2065,15.0
2066,9.0
2067,4.0
2068,9.0
2069,2.0
2070,2.0
2071,11.0
2072,0.0
2073,11.0
2074,3.0
2075,7.0
2076,0.0
2077,2.0
2078,0.0
2079,8.0
2080,10.0
2081,14.0
2082,0.0
2083,7.0
2084,5.0
2085,11.0
2086,11.0
2087,7.0
2088,4.0
2089,5.0
2090,8.0
2091,0.0
2092,8.0
2093,5.0
2094,3.0
2095,9.0
2096,9.0
2097,17.0
2098,0.0
2099,12.0
2100,5.0
2101,7.0
2102,0.0
2103,0.0
2104,2.0
2105,12.0
2106,6.0
2107,0.0
2108,2.0
2109,1.0
2110,2.0
2111,5.0
2112,2.0
2113,1.0
2114,0.0
2115,2.0
2116,2.0
2117,15.0
2118,10.0
2119,1.0
2120,14.0
2121,5.0
2122,5.0
2123,3.0
2124,19.0
2125,13.0
2126,2.0
2127,0.0
2128,2.0
2129,1.0
2130,0.0
2131,15.0
2132,11.0
2133,0.0
2134,8.0
2135,8.0
