,Gabbr2
1769,10.0
1770,2.0
1771,7.0
1772,14.0
1773,2.0
1774,2.0
1775,21.0
1776,9.0
1777,4.0
1778,6.0
1779,9.0
1780,0.0
1781,22.0
1782,1.0
1783,16.0
1784,11.0
1785,23.0
1786,16.0
1787,23.0
1788,4.0
1789,11.0
1790,28.0
1791,0.0
1792,11.0
1793,7.0
1794,5.0
1795,0.0
1796,6.0
1797,0.0
1798,3.0
1799,14.0
1800,21.0
1801,14.0
1802,4.0
1803,3.0
1804,6.0
1805,16.0
1806,15.0
1807,18.0
1808,21.0
1809,6.0
1810,2.0
1811,1.0
1812,1.0
1813,2.0
1814,14.0
1815,1.0
1816,0.0
1817,3.0
1818,20.0
1819,6.0
1820,9.0
1821,0.0
1822,32.0
1823,8.0
1824,9.0
1825,18.0
1826,19.0
1827,2.0
1828,24.0
1829,11.0
1830,4.0
1831,10.0
1832,1.0
1833,11.0
1834,2.0
1835,18.0
1836,1.0
1837,7.0
1838,1.0
1839,27.0
1840,1.0
1841,16.0
1842,2.0
1843,2.0
1844,14.0
1845,2.0
1846,4.0
1847,7.0
1848,1.0
1849,1.0
1850,18.0
1851,13.0
1852,27.0
1853,6.0
1854,0.0
1855,15.0
1856,4.0
1857,0.0
1858,3.0
1859,16.0
1860,8.0
1861,2.0
1862,5.0
1863,6.0
1864,16.0
1865,24.0
1866,42.0
1867,10.0
1868,19.0
1869,5.0
1870,6.0
1871,13.0
1872,5.0
1873,33.0
1874,6.0
1875,16.0
1876,10.0
1877,9.0
1878,2.0
1879,20.0
1880,19.0
1881,8.0
1882,7.0
1883,21.0
1884,13.0
1885,15.0
1886,17.0
1887,13.0
1888,17.0
1889,3.0
1890,0.0
1891,17.0
1892,33.0
1893,25.0
1894,19.0
1895,21.0
1896,3.0
1897,2.0
1898,7.0
1899,8.0
1900,11.0
1901,8.0
1902,30.0
1903,1.0
1904,11.0
1905,1.0
1906,11.0
1907,13.0
1908,0.0
1909,3.0
1910,6.0
1911,16.0
1912,0.0
1913,12.0
1914,15.0
1915,18.0
1916,45.0
1917,11.0
1918,0.0
1919,6.0
1920,3.0
1921,11.0
1922,14.0
1923,14.0
1924,2.0
1925,12.0
1926,9.0
1927,28.0
1928,2.0
1929,2.0
1930,2.0
1931,0.0
1932,0.0
1933,3.0
1934,0.0
1935,1.0
1936,7.0
1937,12.0
1938,5.0
1939,8.0
1940,5.0
1941,13.0
1942,27.0
1943,0.0
1944,0.0
1945,5.0
1946,4.0
1947,11.0
1948,7.0
1949,0.0
1950,5.0
1951,15.0
1952,0.0
1953,11.0
1954,4.0
1955,2.0
1956,15.0
1957,15.0
1958,34.0
1959,7.0
1960,1.0
1961,6.0
1962,0.0
1963,8.0
1964,13.0
1965,11.0
1966,14.0
1967,3.0
1968,0.0
1969,3.0
1970,0.0
1971,1.0
1972,1.0
1973,4.0
1974,20.0
1975,12.0
1976,8.0
1977,5.0
1978,22.0
1979,15.0
1980,5.0
1981,3.0
1982,1.0
1983,0.0
1984,3.0
1985,7.0
1986,3.0
1987,1.0
1988,9.0
1989,17.0
1990,4.0
1991,5.0
1992,2.0
1993,0.0
1994,4.0
1995,22.0
1996,3.0
1997,0.0
1998,2.0
1999,0.0
2000,27.0
2001,32.0
2002,12.0
2003,19.0
2004,5.0
2005,13.0
2006,14.0
2007,14.0
2008,0.0
2009,0.0
2010,13.0
2011,19.0
2012,7.0
2013,5.0
2014,8.0
2015,1.0
2016,14.0
2017,12.0
2018,32.0
2019,0.0
2020,4.0
2021,28.0
2022,31.0
2023,11.0
2024,0.0
2025,8.0
2026,18.0
2027,5.0
2028,8.0
2029,22.0
2030,13.0
2031,28.0
2032,2.0
2033,2.0
2034,32.0
2035,22.0
2036,16.0
2037,8.0
2038,0.0
2039,0.0
2040,5.0
2041,35.0
2042,12.0
2043,34.0
2044,15.0
2045,24.0
2046,2.0
2047,24.0
2048,2.0
2049,1.0
2050,24.0
2051,3.0
2052,2.0
2053,15.0
2054,12.0
2055,1.0
2056,35.0
2057,0.0
2058,10.0
2059,7.0
2060,13.0
2061,9.0
2062,25.0
2063,35.0
2064,20.0
2065,12.0
2066,19.0
2067,9.0
2068,13.0
2069,16.0
2070,1.0
2071,28.0
2072,9.0
2073,18.0
2074,18.0
2075,9.0
2076,1.0
2077,4.0
2078,0.0
2079,14.0
2080,11.0
2081,36.0
2082,2.0
2083,20.0
2084,22.0
2085,18.0
2086,19.0
2087,15.0
2088,22.0
2089,4.0
2090,10.0
2091,2.0
2092,18.0
2093,14.0
2094,11.0
2095,17.0
2096,18.0
2097,15.0
2098,5.0
2099,43.0
2100,9.0
2101,22.0
2102,2.0
2103,0.0
2104,7.0
2105,44.0
2106,10.0
2107,0.0
2108,4.0
2109,5.0
2110,3.0
2111,9.0
2112,1.0
2113,2.0
2114,0.0
2115,3.0
2116,7.0
2117,27.0
2118,34.0
2119,11.0
2120,35.0
2121,22.0
2122,9.0
2123,2.0
2124,27.0
2125,9.0
2126,3.0
2127,0.0
2128,14.0
2129,6.0
2130,0.0
2131,45.0
2132,27.0
2133,2.0
2134,37.0
